"site","Northing","MFC8116","SEV","FY2","LAT_s","MFC_s","INT"
1,6268275,3,1,0,-1.43980405032096,0.505248252646352,0
2,6269878,2.94,0,0,-1.38075434033567,0.431683289672566,0
3,6271295,2,0,0,-1.32855631223264,-0.72083446358342,0
4,6271411,1.68,1,0,-1.32428322030606,-1.11318093277695,0
5,6271698,2.63,0,0,-1.31371100148774,0.0515976476413361,0
6,6271909,1.89,1,0,-1.3059383946213,-0.855703562368695,0
7,6273118,3,1,0,-1.26140246238661,0.505248252646352,0
8,6274794,3.01,1,0,-1.19966365144752,0.517509079808649,0
9,6275912,3,1,0,-1.15847988615522,0.505248252646352,0
10,6278080,4,0,1,-1.07861727152758,1.73133096887612,0
11,6280449,4,0,1,-0.99135042002717,1.73133096887612,0
12,6281637,4,1,1,-0.947588064779181,1.73133096887612,1
13,6282286,4,1,1,-0.923680852190001,1.73133096887612,1
14,6284308,4,1,1,-0.849196439469939,1.73133096887612,1
15,6285621,4,0,1,-0.800829459301075,1.73133096887612,0
16,6287419,4,0,1,-0.73459653443922,1.73133096887612,0
17,6294842,1,1,1,-0.461155488138021,-1.94691717981319,1
18,6295276,2,0,1,-0.445168230412745,-0.72083446358342,0
19,6295486,2,0,1,-0.437432460545676,-0.72083446358342,0
20,6296472,2,0,1,-0.40111117916982,-0.72083446358342,0
21,6296479,2,1,1,-0.400853320174251,-0.72083446358342,1
22,6299965,2.11,0,1,-0.272439540380909,-0.585965364798145,0
23,6300600,2,0,1,-0.249048045782867,-0.72083446358342,0
24,6306744,1.4,0,0,-0.0227215216720542,-1.45648409332128,0
25,6307721,1.41,1,0,0.0132682267094993,-1.44422326615899,0
26,6308621,2,1,0,0.0464215261397942,-0.72083446358342,0
27,6309607,2,1,0,0.0827428075156506,-0.72083446358342,0
28,6312134,3.11,1,0,0.175829904916045,0.640117351431627,0
29,6312347,1,1,0,0.183676185781215,-1.94691717981319,0
30,6314105,2.81,1,0,0.248435630668391,0.272292536562695,0
31,6314634,2.21,1,0,0.267922403333531,-0.463357093175168,0
32,6315167,2,0,0,0.287556523996139,-0.72083446358342,0
33,6315672,2.66,1,0,0.306159208676471,0.0883801291282296,0
34,6339144,2,0,0,1.17079725781856,-0.72083446358342,0
35,6339207,3,0,1,1.17311798877868,0.505248252646352,0
36,6339919,3.16,0,1,1.19934593232798,0.701421487243116,0
37,6340138,3,0,1,1.20741323518935,0.505248252646352,0
38,6340527,2,1,0,1.22174282794312,-0.72083446358342,0
39,6340834,3.08,0,1,1.23305178674878,0.603334869944734,0
40,6341183,3.13,1,1,1.24590789952786,0.664639005756222,1
41,6341935,2.85,0,0,1.27360932305184,0.321335845211886,0
42,6342183,2.89,1,1,1.28274489889486,0.370379153861077,1
43,6342741,2,0,0,1.30329994454164,-0.72083446358342,0
44,6342884,3,1,1,1.30856763545112,0.505248252646352,1
45,6343240,3,1,1,1.32168160722577,0.505248252646352,1
46,6343572,2.22,1,0,1.33391149101561,-0.45109626601287,0
47,6344577,2.03,1,0,1.37093267537944,-0.684051982096527,0
48,6347273,2,1,0,1.47024522567286,-0.72083446358342,0
